Title,Part,Persons,Primary person,Wikidata ID,Primary person role,Edition,Language/s,Publication statement,Extent,Type of content,Series,Note,ISBN,Subject,Location,Shelf mark,Subject heading,Further documents,Collective title,Manufacture statement,Abstract,Corporate body,Record place and date,Form of work,Notes,Title of work,Wrong ISBN,Link to digital copy,Bibliogr. context,Further information,Copyright date,Further title,Parallel title proper
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 5 دفتر 5,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [HerausgeberIn] ; بهفر, مهری *1973-* [HerausgeberIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 5 - چاپ 5,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1402 h.š. [2023]","12, 526 Seiten ; 25 cm",Quelle,Kitābḫāna-i Adabīyāt-i Šāhnāma کتابخانۀ ادبيات شاهنامه,"Ersch.-Jahr 1402 h.š. = 2023 In arabischer Schrift, persisch",978-600-8547-65-5,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:5,,,,,,,,,,,,,,,,,
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 2 دفتر 2,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [HerausgeberIn] ; بهفر, مهری *1973-* [HerausgeberIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 6 - چاپ 6,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1402 h.š. [2023]","23, 568 Seiten ; 25 cm",Quelle,,"Ersch.-Jahr 1402 h.š. = 2023 In arabischer Schrift, persisch",978-964-7443-59-3,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:2,,,,,,,,,,,,,,,,,
Marzbān-nāma : bā maʿnī-i wāžahā wa šarḥ-i baithā wa ǧumlahā-i dušwār wa taʿyīn-i buḥūr-i ašʿār-i Tāzī wa Pārsī wa barḫī nuktahā-i dastūrī wa adabī wa amṯāl wa ḥikam / [tarǧuma-i Saʿd ad-Dīn Warāwīnī] ; ba-kūšiš-i Ḫalīl Ḫaṭīb Rahbar مرزبان‌نامه : با معنى واژه‌ها و شرح بىت‌ها و جمله‌هاى دشوار و تعىىن بحور اشعار تازى و پارسى و برخى نکته‌هاى دستورى و ادبى و امثال و حکم / [ترجمه سعد الدىن وراوىنى] ؛ بکوشش خلىل خطىب رهبر Marzbān-nāmah : bā maʿnī wāžahā wa šarḥ-i baithā wa ǧumlahā-i dušwār wa taʿyīn-i buḥūr-i āšʿār-i Tāzī wa Pārsī wa barḫī nuktahā-i dastūrī wa ādabī wa amṯāl wa ḥikam / bikūšiš duktur Ḫalīl Ḫaṭīb-Rahbar مرزبان نامه : با معنی واژه ها و شرح بیتها و جمله های دشوار و تعیین بحور اشعار تازی و پارسی و برخی نکته های دستوری و ادبی و امثال و حکم / بکوشش دکتر خلیل خطیب رهبر,,"Ḫaṭīb Rahbar, Ḫalīl [SonstigeR] ; خطیب رهبر, خلیل [SonstigeR]","Ḫaṭīb Rahbar, Ḫalīl",,SonstigeR,čāp 30 - چاپ سی ام,Persian,"Tihrān : Intišārāt-i Ṣafī ʿAlīšāh ; تهران : انتشارات صفى علیشاه, 1402 [2023]",,,,"Fables attributed to Marzubān ibn Rustam; translated from the dialect of Tabaristan into literary Persian by Saʿd al-Dīn al-Varāvīnī Includes bibliographical references (pages 787-789) indexes In arabischer Schrift, persisch",978-964-5626-10-3,18.69 Iranische Sprachen und Literaturen 17.75 Literaturkritik,ALS1,= 2024 A 3680,"*Marzubān Ibn-Rustam *ca. 11. Jh.*. Marzubān-nāma *Fables, Persian -- Early works to 1800",Library of Congress Classification: PN989.P47,,,,,,,,,,,,,,,
"Taḏkira al-awwalīaʾ, ʿaṭṭār (Farīdāldīn Muḥammed ibn Ibrāhīm Nīšābūrī) / muqadamah, taṣḥīḥ wa taʿlīqāt duktur Muḥammed Riḍā Šafīʿī kadkanī تذکرة الَأولیاء عّطار (فریدالدین محّمد بن ابراهیم نیشابوری) / مقدمه، تصحیح و تعلیقات دکتر محّمد رضا شفیعی کدکنی",,"ʿAṭṭār, Farīd-ad-Dīn *1145-1221* [VerfasserIn] ; عطار, فرید الدین *1145-1221* [VerfasserIn] Šafīʿī Kadkanī, Muḥammad Riḍā *1939-* [MitwirkendeR] ; شفیعی کدکنی, محمد رضا *1939-* [MitwirkendeR]",Attar of Nishapur,Q194091,VerfasserIn,čāp 10 - چاپ دهم,Persian,"Tihrān : Intišārāt-i Suḫan ; تهران : انتشارات سخن, 1402 [2023]",2 volumes ; 24 cm,,Majmū'ah-yi Ās̲ār-i 'Aṭṭār ; ... مجموعه آثار عطار ; ...,Abweichender Titel: Tadhkiratu 'l-awliyá Abweichender Titel: Memoirs of the saints In Persian,978-964-372-841-0 set 964-372-841-2 set 978-964-372-840-3 v. 2 964-372-840-4 v. 2,,,,*Muslim saints -- Biography -- Early works to 1800 ; Sufis -- Biography -- Early works to 1800 ; Sufi literature -- Early works to 1800 ; Persian literature -- Early works to 1800 *Biography *Saints musulmans - Biographies - Ouvrages avant 1800 ; Soufis - Biographies - Ouvrages avant 1800 ; Littérature soufie - Ouvrages avant 1800 ; Littérature persane - Ouvrages avant 1800 ; Sufi literature ; Persian literature ; Muslim saints ; Sufis ; Biographies ; Early works ; Biographies,Library of Congress Classification: BP189.4,"Taḏkira al-awwalīaʾ, ʿaṭṭār (Farīdāldīn Muḥammed ibn Ibrāhīm Nīšābūrī) / muqadamah, taṣḥīḥ wa taʿlīqāt duktur Muḥammed Riḍā Šafīʿī kadkanī تذکرة الَأولیاء عّطار (فریدالدین محّمد بن ابراهیم نیشابوری) / مقدمه، تصحیح و تعلیقات دکتر محّمد رضا شفیعی کدکنی",čāp Mahārt چاپ مهارت,,,,,,,,,,,,,
Rīša-yābī-i 1500 ǧānām-i kuhan / Murtaḍā Muʾmin-Zāda ریشه‌ یابی ۱۵۰۰ جانام کهن / مرتضی مومن‌زاده Etymology of 1500 ancient place names / by Dr. Morteza Momenzadeh,,"Muʾmin-zāda, Murtaḍā *ca. 1941/42-* [VerfasserIn] ; مومن‌زاده, مرتضی *ca. 1941/42-* [VerfasserIn]","Muʾmin-zāda, Murtaḍā",,VerfasserIn,Čāp-i awwal - چاپ اول,Persian,"Tihrān : Intišārāt-i Rauzana ; تهران : انتشارات روزنه, 1402 h.š. [2023]","609, 12 Seiten",,,"In arabischer Schrift, persisch. Englisches Abstract.",978-622-234-537-2,18.69 Iranische Sprachen und Literaturen 17.16 Etymologie | KJQ 357 Namenkunde. Onomastik {Neupersisch},ALS1,KJQ 357:y = 2024 B 645,*Iran / Ortsname / Etymologie,,,,"Names, Geographical -- Iran. ; Geography -- Terminology",,,,,,,,,,,,
"Bayāḍ-i daftarḫāna-i humāyūnī-i daulat-i Īrān-i ʿaṣr-i Ṣafawī : daftar-i musawwada, ṯabt wa dastūr-i dabīrī-i nigāriš-i nāmahā-i dīplūmātīk : pažūhišī pīrāmūn-i rawābiṭ-i ḫāriǧī-i Īrān dar rūzgār-i Ṣafawīyān (Urūpā, ʿUṯmānī, Hindūstān, Āsiyā-i Markazī) / pažūhiš, taṣḥīḥ wa tauḍīḥāt-i Manṣūr Ṣifat-Gul; bā muqaddama-i Kāzūʾū Mūrīmūtū بياض دفترخانه همايونى دولت ايران عصر صفوى : دفتر مسوده، ثبت و دستور دبيرى نگارش نامه‌هاى ديپلوماتيک : پژوهشى پيرامون روابط خارجى ايران در روزگار صفويان (اروپا، عثمانى، هندوستان، آسياى مرکزى) / پژوهش، تصحيح و توضيحات منصور صفت‌گل ؛ با مقدمه کازوئو مورى‌موتو Bayaz of the royal chancellery of Iran during the Safavid era : draft, register and rules for preparing diplomatic correspondences (a study of Iran's foreign relations with Europe, Ottomans, Mughals, and the Khanates of Central Asia) / Mansur Sefatgol ; with a preface by Kazuo Morimoto Safavī chōki Iran no ōshitsu kanbō shokan kirokubo : gaikō bunsho sōkō, ōrai, sakusei yōryō no kiroku (Yōroppa, Osuman-chō, Mugaru-chō, Chūō Ajia shohankoku to no taigai kankei ni kansuru kenkyū) / Mansūru Sefatogoru cho ; Morimoto Kazuo jo サファヴィー朝期イランの王室官房書簡記錄簿 : 外交文書草稿・往来・作成要領の記錄 (ヨーロッパ、オスマン朝、ムガル朝、中央アジア諸ハン国との対外関係に関する研究) / マンスール・セファトゴル著 ; 森本一夫序",,"Ṣifat-Gul, Manṣūr *1961-* [VerfasserIn] ; صفت‌گل, منصور *1961-* [VerfasserIn] Morimoto, Kazuo *1970-* [VerfasserIn eines Vorworts] ; 森本, 一夫 *1970-* [VerfasserIn eines Vorworts]","Ṣifat-Gul, Manṣūr",,VerfasserIn,,"Persian (Language of abstract: English, Japanese)","東京 : 東京大学東洋文化研究所附属東洋学研究情報センター, 2023","19, 337, [22]  Seiten : 挿図 ; 26 cm",,"Tōyōgaku Kenkyū Jōhō Sentā sōkan. - Tōkyō : [Verlag nicht ermittelbar], 2002- ; ZDB-ID: 2585740-X ; 35 東洋学研究情報センター叢刊. - 東京 : [Verlag nicht ermittelbar], 2002- ; ZDB-ID: 2585740-X ; 35","Includes bibliographical references (pages 312-315) and indexes Text in Persian, preface in English and Japanese",978-4-903235-60-8 paperback 4-903235-60-2 paperback,18.69 Iranische Sprachen und Literaturen | KJB 648 Historische Literatur {Altpersisch},,2024 B 25137,*Safawiden<Dynastie : 1501-1722> / Schriftverkehr / Auslandsbeziehungen / Persisch / Altpersisch / Persien *イラン / 歴史 / 史料,NDC10: 227.2,,,,,,,,,,,,,,,
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 3 دفتر 3,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [HerausgeberIn] ; بهفر, مهری *1973-* [HerausgeberIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 5 - چاپ 5,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1401 h.š. [2022]","15, 478 Seiten ; 25 cm",Quelle,,"Ersch.-Jahr 1401 h.š. = 2022 In arabischer Schrift, persisch",978-600-7439-00-5,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:3,,,,,,,,,,,,,,,,,
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 1 دفتر 1,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [HerausgeberIn] ; بهفر, مهری *1973-* [HerausgeberIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 6 - چاپ 6,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1401 h.š. [2022]","53, 858 Seiten ; 25 cm",Quelle,,"Ersch.-Jahr 1401 h.š. = 2022 In arabischer Schrift, persisch",978-964-7443-59-3,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:1,,,,,,,,,,,,,,,,,
Šāhnāma-i Firdausī : taṣḥīḥ-i intiqādī wa šarḥ-i yakāyak-i abyāt / Mihrī Bihfar شاهنامه فردوسی : تصحیح انتقادی و شرح یکایک ابیات / مهری بهفر,Daftar-i 6 دفتر 6,"Firdausī *940-1020* [VerfasserIn] ; فردوسى *940-1020* [VerfasserIn] Bihfar, Mihrī *1973-* [VerfasserIn] ; بهفر, مهری *1973-* [VerfasserIn]",Ferdowsi,Q43459,VerfasserIn,Čāp-i 2 - چاپ 2,Persian,"Tihrān : Farhang-i Našr-i Nau ; تهران : فرهنگ نشر نو, 1401 h.š. [2022]","26, 832 Seiten ; 25 cm",,"Kitābḫāna-i Adabīyāt-i Šāhnāma. - Tihrān : Farhang-i Našr-i Nau, 1394 [2015 oder 2016]- ; ZDB-ID: 3237264-4 ; 6","Ersch.-Jahr 1401 h.š. = 2022 In arabischer Schrift, persisch",,18.69 Iranische Sprachen und Literaturen 17.97 Texte eines einzelnen Autors | KJQ 656 Epen {Persisch},ALS1,KJQ 656 Fir:z = 2024 A 4987:6,,,,,,,,,,,,,,,,,
Dars-i 28 Murdād : az liḥāẓ-i nahz̤at-i millī-i Īrān va az liḥāẓ-i rahbarān-i khāʾin-i Ḥizb-i Tūdah / Khalīl Malakī درس ٢٨ مرداد : از لحاظ نهضت ملى ايران و از لحاظ رهبران خائن حزب توده / خليل ملکى,,"Malakī, Ḫalīl *1901-1969* [VerfasserIn] ; 1901-1969* [VerfasserIn]","Malakī, Ḫalīl",,VerfasserIn,Chāp-i 1 - چاپ اول,Persian,"Tihrān : Šīrāz-i Kitāb Mā ; تهران : شیرازه کتاب ما, 1401 [2022]",383 pages : facsimiles ; 22 cm,,Majmūʿah-ʾi tārīkh-i muʿāṣir-i Īrān ; 62 مجموعۀ تاريخ معاصر ايران ؛ ; 62,Includes bibliographical references and index In Persian,978-600-300-110-7 600-300-110-0,KJQ 549 Politische Literatur {Neupersisch} PUH 272 Politik {Iran 1925-1979},ALS1,KJQ 549:m = 2024 A 4986,"*Mosaddeq, Mohammad -- 1880-1967 ; Ḥizb-i Tūdah-ʾi Īrān ; Jamʿīyat-i Nahz̤at-i Millī-i Īrān ; Iran -- History -- Coup d'état, 1953 *Mosaddeq, Mohammad - 1880-1967 ; Ḥizb-i Tūdah-ʾi Īrān ; 1953 ; Iran - Histoire - 1953 (Coup d'État) ; Iran ; History",Library of Congress Classification: DS318.6,,,"Iran - History - Coup d'état, 1953 ; Ḥizb-i Tūdah-ʾi Īrān ; Jamʿīyat-i Nahz̤at-i Millī-i Īrān",,,,,,,,,,,,
